User name,Viewer count, Started at, Stream duration (h), Stream growth (viewers/h)
Solary,11154,Fri Jan 10 08:38:48 EET 2020,31.403592,355.182300
WePlayEsport_EN,37355,Sat Jan 11 13:26:23 EET 2020,2.610536,14309.319785
volley21145,12845,Sat Jan 11 14:44:54 EET 2020,1.301925,9866.157620
fextralife,20189,Sat Jan 11 14:14:14 EET 2020,1.813036,11135.463206
Esports_Alliance,10297,Sat Jan 11 13:36:07 EET 2020,2.448314,4205.751100
GamesDoneQuick,97624,Fri Jan 10 11:03:15 EET 2020,28.996089,3366.798829
dafran,7016,Sat Jan 11 10:56:07 EET 2020,5.115347,1371.558898
Trainwreckstv,12574,Sat Jan 11 07:46:52 EET 2020,8.269147,1520.592056
dyumuuuu,15552,Sat Jan 11 15:31:19 EET 2020,0.528314,29437.030050
WePlayEsport_RU,51873,Sat Jan 11 13:26:19 EET 2020,2.611647,19862.175121
풍월량,14739,Sat Jan 11 12:59:32 EET 2020,3.058036,4819.759521
Chess,9507,Sat Jan 11 14:34:45 EET 2020,1.472192,6457.716497
SilverName,6941,Sat Jan 11 14:45:41 EET 2020,1.289785,5381.517075
Nili_AoE,8925,Sat Jan 11 13:58:54 EET 2020,2.069502,4312.631850
湯米,9157,Sat Jan 11 07:42:45 EET 2020,8.338264,1098.190274
LeFrenchRestream,7488,Fri Jan 10 18:51:53 EET 2020,21.186590,353.431114
Sacriel,7738,Sat Jan 11 12:00:27 EET 2020,4.043380,1913.745431
Myth,9594,Sat Jan 11 08:05:46 EET 2020,7.955072,1206.023034
CohhCarnage,8004,Sat Jan 11 15:00:55 EET 2020,1.036037,7725.595297
우왁굳,5603,Sat Jan 11 13:09:43 EET 2020,2.889298,1939.225525
holyphoenix,5719,Sat Jan 11 15:28:44 EET 2020,0.573163,9977.963416
GTimeTV,6296,Sat Jan 11 03:04:39 EET 2020,12.974330,485.265916
boyMinORu,7838,Sat Jan 11 14:04:59 EET 2020,1.968306,3982.105308
亞洲統神,6297,Sat Jan 11 09:54:07 EET 2020,6.149909,1023.917654
dakotaz,6508,Sat Jan 11 14:26:16 EET 2020,1.613877,4032.524154
C9Sneaky,5874,Sat Jan 11 05:31:10 EET 2020,10.532616,557.696202
Gosu,5573,Sat Jan 11 14:48:34 EET 2020,1.242221,4486.318861
AdmiralBulldog,6865,Sat Jan 11 12:22:18 EET 2020,3.680542,1865.214445
C_a_k_e,6023,Sat Jan 11 12:09:58 EET 2020,3.886422,1549.754416
Broxah,6230,Sat Jan 11 14:03:17 EET 2020,1.997489,3118.915105
